Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Padraig Harrington (16323592),Padraig Harrington,16323592,G,6800,Waste Management Phoenix Open,Golf,66.25
G,Patrick Rodgers (16323593),Patrick Rodgers,16323593,G,6800,Waste Management Phoenix Open,Golf,48.8
G,Charley Hoffman (16323594),Charley Hoffman,16323594,G,6800,Waste Management Phoenix Open,Golf,63.18
G,James Hahn (16323595),James Hahn,16323595,G,6800,Waste Management Phoenix Open,Golf,73.11
G,Lucas Glover (16323596),Lucas Glover,16323596,G,6800,Waste Management Phoenix Open,Golf,52.61
G,Harry Higgs (16323597),Harry Higgs,16323597,G,6800,Waste Management Phoenix Open,Golf,67.12
G,Erik Van Rooyen (16323598),Erik Van Rooyen,16323598,G,6700,Waste Management Phoenix Open,Golf,43.14
G,Richy Werenski (16323599),Richy Werenski,16323599,G,6700,Waste Management Phoenix Open,Golf,57.5
G,Bo Hoag (16323600),Bo Hoag,16323600,G,6700,Waste Management Phoenix Open,Golf,55.67
G,Austin Cook (16323601),Austin Cook,16323601,G,6700,Waste Management Phoenix Open,Golf,67.69
G,Matt Jones (16323602),Matt Jones,16323602,G,6700,Waste Management Phoenix Open,Golf,69.05
G,Mark Hubbard (16323603),Mark Hubbard,16323603,G,6700,Waste Management Phoenix Open,Golf,47.77
G,Pat Perez (16323604),Pat Perez,16323604,G,6700,Waste Management Phoenix Open,Golf,50.82
G,Nick Taylor (16323605),Nick Taylor,16323605,G,6600,Waste Management Phoenix Open,Golf,61.28
G,Tom Lewis (16323606),Tom Lewis,16323606,G,6600,Waste Management Phoenix Open,Golf,33.79
G,Ryan Armour (16323607),Ryan Armour,16323607,G,6600,Waste Management Phoenix Open,Golf,50.05
G,Kevin Streelman (16323608),Kevin Streelman,16323608,G,6600,Waste Management Phoenix Open,Golf,60
G,Tom Hoge (16323609),Tom Hoge,16323609,G,6600,Waste Management Phoenix Open,Golf,61.18
G,Brice Garnett (16323610),Brice Garnett,16323610,G,6600,Waste Management Phoenix Open,Golf,59.95
G,J.T. Poston (16323611),J.T. Poston,16323611,G,6600,Waste Management Phoenix Open,Golf,53.3
G,Jerry Kelly (16323612),Jerry Kelly,16323612,G,6500,Waste Management Phoenix Open,Golf,60.53
G,Russell Knox (16323613),Russell Knox,16323613,G,6500,Waste Management Phoenix Open,Golf,56.4
G,Joel Dahmen (16323614),Joel Dahmen,16323614,G,6500,Waste Management Phoenix Open,Golf,63.39
G,Matthew NeSmith (16323615),Matthew NeSmith,16323615,G,6500,Waste Management Phoenix Open,Golf,57.22
